screenW,workerid,OS,screenH,Browser
1920,0,Windows,1080,Chrome
1920,1,Windows,1080,Chrome
1366,2,Windows,768,Chrome
1920,3,Windows,1080,Chrome
1920,4,Windows,1080,Chrome
1366,5,Windows,768,Chrome
1366,6,Windows,768,Chrome
1280,7,Windows,720,Chrome
1920,8,Windows,1080,Chrome
1920,9,Windows,1080,Chrome
3440,10,Windows,1440,Chrome
1366,11,Windows,768,Chrome
1920,12,Windows,1080,Chrome
2560,13,Windows,1080,Chrome
1920,14,Windows,1080,Chrome
1600,15,Windows,900,Chrome
1920,16,Windows,1080,Chrome
1366,17,Windows,768,Chrome
2048,18,Windows,1152,Chrome
1366,19,Windows,768,Chrome
1366,20,Windows,768,Chrome
1536,21,Windows,864,Chrome
1280,22,Mac,800,Chrome
1366,23,Windows,768,Chrome
1680,24,Mac,1050,Chrome
1536,25,Windows,864,Chrome
1920,26,Linux,1080,Chrome
1440,27,Mac,900,Chrome
1366,28,Windows,768,Chrome
1920,29,Windows,1080,Chrome
1366,30,Windows,768,Chrome
1792,31,Mac,1120,Chrome
